KM,KM+M,經緯度,TM2
-7,-7,"25.052928,121.642517","314000.0,2772000.0"
-6,-6,"25.053691,121.632907","313030.0,2772080.0"
-5,-5,"25.054634,121.623398","312070.0,2772180.0"
-4,-4,"25.053953,121.613582","311080.0,2772100.0"
-3,-3,"25.052639,121.603764","310090.0,2771950.0"
-2,-2,"25.051325,121.593946","309100.0,2771800.0"
-1,-1,"25.049738,121.584226","308020.0,2771620.0"
0,0+000.0,"25.049144,121.574412","307030.0,2771550.0"
1,1+000.0,"25.047826,121.564991","306180.0,2771400.0"
2,2+000.0,"25.044613,121.555265","305200.0,2771040.0"
3,3+000.0,"25.045011,121.545356","304200.0,2771080.0"
4,4+000.0,"25.044776,121.535445","303200.0,2771050.0"
5,5+000.0,"25.045981,121.526531","302300.0,2771180.0"
6,6+000.0,"25.047551,121.516627","301300.0,2771350.0"
7,7+000.0,"25.044419,121.508686","300500.0,2771000.0"
8,8+000.0,"25.0363,121.506671","300300.0,2770100.0"
9,9+000.0,"25.033619,121.498732","299500.0,2769800.0"
10,10+000.0,"25.028231,121.489792","298600.0,2769200.0"
11,11+000.0,"25.025552,121.480864","297700.0,2768900.0"
12,12+000.0,"25.019709,121.472915","296900.0,2768250.0"
13,13+000.0,"25.014316,121.465463","296150.0,2767650.0"
14,14+000.0,"25.007568,121.458007","295400.0,2766900.0"
14,14+200.0,"25.006223,121.457432","295342.4,2766750.8"
14,14+300.0,"25.005517,121.456814","295280.3,2766672.4"
14,14+319.5,"25.005379,121.456693","295268.2,2766657.1"
14,14+400.0,"25.004821,121.456182","295216.8,2766595.1"
14,14+419.5,"25.004696,121.456048","295203.3,2766581.2"
14,14+500.0,"25.004244,121.455424","295140.5,2766530.9"
14,14+600.0,"25.003856,121.454532","295050.6,2766487.6"
14,14+700.0,"25.00368,121.453564","294952.9,2766467.8"
14,14+702.9,"25.003678,121.453535","2,949,502,766,467.60"
14,14+800.0,"25.003698,121.452574","2,948,532,766,469.50"
14,14+802.9,"25.0037,121.452545","294850.1,2766469.7"
14,14+900.0,"25.003753,121.451584","294753.1,2766475.3"
15,15+000.0,"25.003809,121.450596","294653.3,2766481.1"
15,15+100.0,"25.003864,121.449607","294553.5,2766486.9"
15,15+200.0,"25.00392,121.448619","294453.7,2766492.7"
15,15+300.0,"25.003975,121.447629","294353.8,2766498.5"
15,15+400.0,"25.00403,121.446641","2,942,542,766,504.30"
15,15+500.0,"25.004086,121.445652","294154.2,2766510.1"
15,15+600.0,"25.00414,121.444663","294054.3,2766515.8"
15,15+700.0,"25.004195,121.443674","293954.5,2766521.6"
15,15+800.0,"25.004251,121.442686","293854.7,2766527.4"
15,15+900.0,"25.004306,121.441696","293754.8,2766533.2"
16,16+000.0,"25.004361,121.440708","2,936,552,766,539"
16,16+100.0,"25.004416,121.439719","293555.2,2766544.8"
16,16+200.0,"25.004472,121.43873","293455.3,2766550.6"
16,16+261.5,"25.004506,121.438122","293393.9,2766554.2"
16,16+300.0,"25.004527,121.437741","293355.5,2766556.4"
16,16+400.0,"25.004577,121.436752","293255.6,2766561.6"
16,16+500.0,"25.004601,121.435762","293155.7,2766564"
16,16+511.5,"25.004602,121.435648","293144.2,2766564"
16,16+600.0,"25.004583,121.434771","293055.7,2766561.6"
16,16+684.9,"25.004532,121.433932","2,929,712,766,555.70"
16,16+700.0,"25.00452,121.433783","2,929,562,766,554.30"
16,16+800.0,"25.004411,121.4328","292856.8,2766542"
16,16+900.0,"25.00427,121.431822","292758.1,2766526"
17,17+000.0,"25.004112,121.430845","292659.6,2766508.2"
17,17+100.0,"25.003962,121.429869","292561.1,2766491.3"
17,17+184.9,"25.003852,121.429036","292477.1,2766478.8"
17,17+200.0,"25.003835,121.428888","292462.1,2766476.9"
17,17+300.0,"25.003738,121.427904","292362.8,2766465.8"
17,17+400.0,"25.00367,121.426916","292263.1,2766458"
17,17+500.0,"25.003632,121.425926","292163.2,2766453.5"
17,17+600.0,"25.003625,121.424935","292063.2,2766452.4"
17,17+700.0,"25.003648,121.423945","291963.2,2766454.6"
17,17+800.0,"25.003701,121.422956","291863.4,2766460.2"
17,17+900.0,"25.003784,121.42197","291763.8,2766469"
17,17+943.4,"25.003829,121.421542","291720.6,2766473.9"
18,18+000.0,"25.003896,121.420986","291664.5,2766481.2"
18,18+100.0,"25.004034,121.420007","291565.6,2766496.1"
18,18+193.4,"25.004172,121.419094","291473.4,2766511.1"
18,18+200.0,"25.004181,121.41903","291466.9,2766512.1"
18,18+300.0,"25.004329,121.418052","291368.2,2766528.2"
18,18+400.0,"25.004477,121.417075","291269.5,2766544.3"
18,18+500.0,"25.004625,121.416098","291170.8,2766560.4"
18,18+600.0,"25.004773,121.41512","291072.1,2766576.5"
18,18+700.0,"25.004921,121.414143","290973.4,2766592.5"
18,18+800.0,"25.005069,121.413166","290874.7,2766608.6"
18,18+900.0,"25.005217,121.412188","2,907,762,766,624.70"
19,19+000.0,"25.005365,121.411211","290677.3,2766640.8"
19,19+071.5,"25.00547,121.410513","290606.8,2766652.3"
19,19+100.0,"25.005513,121.410234","290578.6,2766656.9"
19,19+200.0,"25.005661,121.409256","290479.9,2766673"
19,19+300.0,"25.005811,121.40828","290381.3,2766689.3"
19,19+400.0,"25.005967,121.407304","290282.7,2766706.3"
19,19+500.0,"25.006131,121.40633","290184.4,2766724.2"
19,19+600.0,"25.006308,121.405358","290086.2,2766743.5"
19,19+621.5,"25.006348,121.40515","290065.2,2766747.9"
19,19+700.0,"25.006499,121.40439","289988.4,2766764.4"
19,19+800.0,"25.006704,121.403425","2,898,912,766,786.80"
19,19+900.0,"25.006923,121.402464","289793.9,2766810.8"
20,20+000.0,"25.007156,121.401507","289697.2,2766836.3"
20,20+100.0,"25.007403,121.400555","2,896,012,766,863.30"
20,20+200.0,"25.007664,121.399605","289505.1,2766892"
20,20+300.0,"25.007939,121.398662","289409.8,2766922.1"
20,20+400.0,"25.008226,121.397723","289314.9,2766953.7"
20,20+500.0,"25.008529,121.396789","289220.6,2766986.9"
20,20+600.0,"25.008844,121.395861","289126.8,2767021.6"
20,20+700.0,"25.009174,121.394939","289033.6,2767057.8"
20,20+800.0,"25.009515,121.394021","288940.9,2767095.4"
20,20+900.0,"25.009872,121.393111","288848.9,2767134.6"
21,21+000.0,"25.010241,121.392207","288757.5,2767175.2"
21,21+100.0,"25.010622,121.391309","288666.8,2767217.2"
21,21+200.0,"25.011017,121.390419","288576.8,2767260.7"
21,21+300.0,"25.011426,121.389534","288487.4,2767305.7"
21,21+400.0,"25.011846,121.388658","288398.8,2767352"
21,21+500.0,"25.01228,121.387789","2,883,112,767,399.80"
21,21+504.0,"25.012298,121.387755","288307.5,2767401.8"
21,21+600.0,"25.012726,121.386928","288223.9,2767449"
21,21+700.0,"25.013184,121.386074","288137.6,2767499.4"
21,21+800.0,"25.01365,121.385226","288051.8,2767550.8"
21,21+900.0,"25.014123,121.384381","287966.4,2767602.9"
22,22+000.0,"25.014597,121.383537","287881.1,2767655.2"
22,22+054.0,"25.014853,121.383082","287835.1,2767683.4"
22,22+100.0,"25.015071,121.382695","287795.9,2767707.5"
22,22+200.0,"25.015546,121.381852","287710.7,2767759.8"
22,22+300.0,"25.016021,121.381009","287625.5,2767812.2"
22,22+400.0,"25.016495,121.380167","287540.3,2767864.5"
22,22+500.0,"25.016969,121.379324","287455.1,2767916.8"
22,22+600.0,"25.017445,121.378481","287369.9,2767969.2"
22,22+700.0,"25.017919,121.377638","287284.7,2768021.5"
22,22+800.0,"25.018393,121.376795","287199.4,2768073.8"
22,22+900.0,"25.018869,121.375952","287114.2,2768126.2"
23,23+000.0,"25.019343,121.375109","2,870,292,768,178.50"
23,23+100.0,"25.019817,121.374267","286943.8,2768230.8"
23,23+200.0,"25.020292,121.373424","286858.6,2768283.2"
23,23+300.0,"25.020767,121.372581","286773.4,2768335.5"
23,23+400.0,"25.021241,121.371738","286688.2,2768387.8"
23,23+500.0,"25.021716,121.370895","2,866,032,768,440.20"
23,23+600.0,"25.02219,121.370052","286517.7,2768492.5"
23,23+700.0,"25.022665,121.369209","286432.5,2768544.8"
23,23+800.0,"25.02314,121.368366","286347.3,2768597.2"
23,23+900.0,"25.023614,121.367523","286262.1,2768649.5"
24,24+000.0,"25.024088,121.366681","286176.9,2768701.8"
24,24+100.0,"25.024563,121.365838","286091.7,2768754.2"
24,24+200.0,"25.025038,121.364995","286006.5,2768806.5"
24,24+300.0,"25.025512,121.364152","285921.3,2768858.8"
24,24+400.0,"25.025987,121.363308","2,858,362,768,911.20"
24,24+500.0,"25.026461,121.362465","285750.8,2768963.5"
24,24+600.0,"25.026936,121.361623","285665.6,2769015.8"
24,24+700.0,"25.027411,121.36078","285580.4,2769068.2"
24,24+800.0,"25.027885,121.359937","285495.2,2769120.5"
24,24+900.0,"25.028359,121.359094","2,854,102,769,172.80"
25,25+000.0,"25.028834,121.358251","285324.8,2769225.2"
25,25+100.0,"25.029308,121.357408","285239.6,2769277.5"
25,25+200.0,"25.029783,121.356564","285154.3,2769329.8"
25,25+300.0,"25.030258,121.355722","285069.1,2769382.2"
25,25+400.0,"25.030732,121.354879","284983.9,2769434.5"
25,25+500.0,"25.031206,121.354036","284898.7,2769486.8"
25,25+600.0,"25.031681,121.353193","284813.5,2769539.2"
25,25+700.0,"25.032155,121.35235","284728.3,2769591.5"
25,25+800.0,"25.03263,121.351507","284643.1,2769643.8"
25,25+900.0,"25.033105,121.350664","284557.9,2769696.2"
26,26+000.0,"25.033579,121.34982","284472.6,2769748.5"
26,26+100.0,"25.034053,121.348977","284387.4,2769800.8"
26,26+200.0,"25.034528,121.348134","284302.2,2769853.2"
26,26+300.0,"25.035002,121.347291","2,842,172,769,905.50"
26,26+400.0,"25.035476,121.346448","284131.8,2769957.8"
26,26+500.0,"25.035951,121.345605","284046.6,2770010.2"
26,26+600.0,"25.036425,121.344762","283961.4,2770062.5"
26,26+700.0,"25.0369,121.343919","283876.2,2770114.8"
26,26+800.0,"25.037375,121.343075","283790.9,2770167.2"
26,26+900.0,"25.037849,121.342232","283705.7,2770219.5"
27,27+000.0,"25.038323,121.341389","283620.5,2770271.8"
27,27+100.0,"25.038798,121.340546","283535.3,2770324.2"
27,27+200.0,"25.039272,121.339703","283450.1,2770376.5"
27,27+300.0,"25.039746,121.33886","283364.9,2770428.8"
27,27+400.0,"25.040221,121.338017","283279.7,2770481.2"
27,27+500.0,"25.040695,121.337174","283194.5,2770533.5"
27,27+600.0,"25.041169,121.33633","283109.2,2770585.8"
27,27+700.0,"25.041644,121.335487","2,830,242,770,638.20"
27,27+800.0,"25.042118,121.334644","282938.8,2770690.5"
27,27+900.0,"25.042592,121.333801","282853.6,2770742.8"
28,28+000.0,"25.043067,121.332958","282768.4,2770795.2"
28,28+100.0,"25.043541,121.332115","282683.2,2770847.5"
28,28+200.0,"25.044015,121.331272","2,825,982,770,899.80"
28,28+300.0,"25.04449,121.330429","282512.8,2770952.2"
28,28+400.0,"25.044964,121.329585","282427.5,2771004.5"
28,28+500.0,"25.045439,121.328742","282342.3,2771056.8"
28,28+600.0,"25.045913,121.327899","282257.1,2771109.2"
28,28+700.0,"25.046387,121.327055","282171.9,2771161.5"
28,28+800.0,"25.046862,121.326212","282086.7,2771213.8"
28,28+900.0,"25.047336,121.325369","282001.5,2771266.2"
29,29+000.0,"25.04781,121.324526","281916.3,2771318.5"
29,29+100.0,"25.048284,121.323683","281831.1,2771370.8"
29,29+200.0,"25.048759,121.322839","281745.8,2771423.2"
29,29+300.0,"25.049233,121.321996","281660.6,2771475.5"
29,29+400.0,"25.049707,121.321153","281575.4,2771527.8"
29,29+500.0,"25.050182,121.320309","281490.2,2771580.2"
29,29+555.0,"25.050442,121.319846","281443.4,2771608.9"
29,29+600.0,"25.050656,121.319466","2,814,052,771,632.50"
29,29+700.0,"25.05113,121.318623","281319.8,2771684.8"
29,29+800.0,"25.051602,121.317778","281234.4,2771736.8"
29,29+900.0,"25.052068,121.316929","281148.6,2771788.3"
30,30+000.0,"25.052524,121.316074","281062.2,2771838.6"
30,30+100.0,"25.052968,121.31521","2,809,752,771,887.60"
30,30+105.0,"25.05299,121.315168","280970.7,2771890"
30,30+200.0,"25.053399,121.314339","2,808,872,771,935.10"
30,30+300.0,"25.053816,121.31346","280798.2,2771981.1"
30,30+400.0,"25.054219,121.312573","280708.6,2772025.5"
30,30+500.0,"25.054607,121.311679","280618.3,2772068.3"
30,30+600.0,"25.054981,121.310777","280527.2,2772109.5"
30,30+700.0,"25.055342,121.309868","280435.4,2772149.2"
30,30+800.0,"25.055686,121.308953","280342.9,2772187.2"
30,30+900.0,"25.056017,121.30803","280249.7,2772223.6"
31,31+000.0,"25.056333,121.307102","2,801,562,772,258.40"
31,31+100.0,"25.056635,121.306167","280061.6,2772291.6"
31,31+200.0,"25.056921,121.305227","279966.7,2772323.1"
31,31+300.0,"25.057192,121.304282","279871.3,2772352.9"
31,31+400.0,"25.057449,121.303331","279775.3,2772381.1"
31,31+500.0,"25.057689,121.302376","279678.9,2772407.5"
31,31+600.0,"25.057915,121.301417","2,795,822,772,432.30"
31,31+700.0,"25.058125,121.300453","279484.7,2772455.4"
31,31+800.0,"25.05832,121.299486","279387.1,2772476.8"
31,31+900.0,"25.0585,121.298514","2,792,892,772,496.50"
32,32+000.0,"25.058665,121.297539","279190.6,2772514.5"
32,32+100.0,"25.058814,121.296562","2,790,922,772,530.80"
32,32+200.0,"25.058947,121.295581","2,789,932,772,545.30"
32,32+300.0,"25.059064,121.294599","278893.9,2772558.1"
32,32+400.0,"25.059166,121.293614","278794.5,2772569.2"
32,32+500.0,"25.059252,121.292627","278694.9,2772578.5"
32,32+600.0,"25.059323,121.291639","278595.2,2772586.1"
32,32+700.0,"25.059378,121.29065","278495.4,2772592"
32,32+800.0,"25.059417,121.28966","278395.5,2772596.1"
32,32+900.0,"25.059441,121.288669","278295.5,2772598.5"
33,33+000.0,"25.059448,121.287678","278195.5,2772599.1"
33,33+100.0,"25.05944,121.286687","278095.5,2772598"
33,33+200.0,"25.059416,121.285697","277995.6,2772595.1"
33,33+300.0,"25.059376,121.284706","277895.7,2772590.5"
33,33+400.0,"25.059321,121.283717","277795.9,2772584.2"
33,33+500.0,"25.05925,121.282729","277696.2,2772576.1"
33,33+600.0,"25.059162,121.281742","277596.7,2772566.2"
33,33+700.0,"25.05906,121.280757","277497.3,2772554.7"
33,33+800.0,"25.058942,121.279774","277398.2,2772541.4"
33,33+900.0,"25.058808,121.278795","277299.4,2772526.3"
34,34+000.0,"25.058659,121.277817","277200.8,2772509.6"
34,34+100.0,"25.058493,121.276842","277102.5,2772491.1"
34,34+200.0,"25.058314,121.275872","277004.6,2772471"
34,34+300.0,"25.058118,121.274904","2,769,072,772,449.10"
34,34+400.0,"25.057907,121.27394","276809.8,2772425.5"
34,34+500.0,"25.05768,121.272981","276713.1,2772400.2"
34,34+600.0,"25.057439,121.272026","276616.8,2772373.3"
34,34+700.0,"25.057181,121.271076","2,765,212,772,344.60"
34,34+800.0,"25.05691,121.270131","276425.7,2772314.3"
34,34+900.0,"25.056623,121.269191","276330.9,2772282.4"
35,35+000.0,"25.056321,121.268256","276236.7,2772248.7"
35,35+100.0,"25.056005,121.267328","276143.1,2772213.5"
35,35+200.0,"25.055673,121.266407","276050.2,2772176.6"
